Timestamp,Event,Department,Year,Rating,Comments
03-12-2024 13:00,Sports Meet,MBA,3rd Year,1,The event started late and ended abruptly.
04/24/2024 15:00:00,Tech Talk,CSE,4th Year,1,"The timing was poor, it clashed with classes."
06/29/2024 16:00:00,Tech Talk,Civil,1st Year,3,Decent experience overall.
02/22/2024 09:00:00,Hackathon,MBA,1st Year,4,"Loved the energy, great speakers and topics."
03/31/2024 10:00:00,Workshop on AI,CSE,2nd Year,5,"Fantastic, would definitely attend again."
02/29/2024 17:00:00,Tech Talk,CSE,2nd Year,4,"Fantastic, would definitely attend again."
06/15/2024 18:00:00,Hackathon,ECE,1st Year,5,"Really enjoyed the session, very informative."
06-03-2024 14:00,Workshop on AI,ECE,1st Year,3,The event was fine but too long.
02-04-2024 11:00,Workshop on AI,CSE,4th Year,3,The event was fine but too long.
01-08-2024 12:00,Hackathon,ECE,4th Year,5,"Really enjoyed the session, very informative."
04/27/2024 18:00:00,Sports Meet,ECE,3rd Year,4,"Really enjoyed the session, very informative."
02/25/2024 13:00:00,Tech Talk,MBA,4th Year,5,"Loved the energy, great speakers and topics."
06/26/2024 17:00:00,Sports Meet,Civil,3rd Year,1,Venue was too crowded and uncomfortable.
04/28/2024 12:00:00,Sports Meet,ECE,2nd Year,2,"Not much value, expected better content."
05/21/2024 14:00:00,Sports Meet,ECE,4th Year,2,"The timing was poor, it clashed with classes."
06/15/2024 16:00:00,Cultural Fest,ME,3rd Year,3,Neither good nor bad.
07-02-2024 12:00,Sports Meet,CSE,4th Year,1,"The timing was poor, it clashed with classes."
06/21/2024 09:00:00,Tech Talk,MBA,4th Year,3,Decent experience overall.
05/25/2024 12:00:00,Hackathon,MBA,4th Year,4,"Everything went smoothly, kudos to the team."
02/20/2024 12:00:00,Sports Meet,MBA,4th Year,3,"Average event, can be improved."
04-07-2024 11:00,Tech Talk,MBA,4th Year,4,"Everything went smoothly, kudos to the team."
05-01-2024 11:00,Cultural Fest,ECE,4th Year,1,"The timing was poor, it clashed with classes."
01/24/2024 09:00:00,Workshop on AI,ME,3rd Year,4,The event was well organized and engaging!
07-08-2024 09:00,Sports Meet,ME,3rd Year,5,"Really enjoyed the session, very informative."
06/20/2024 12:00:00,Hackathon,Civil,1st Year,1,"Not much value, expected better content."
01/29/2024 18:00:00,Tech Talk,ECE,3rd Year,5,"Loved the energy, great speakers and topics."
06-08-2024 15:00,Cultural Fest,ECE,1st Year,4,"Fantastic, would definitely attend again."
04/22/2024 11:00:00,Hackathon,CSE,4th Year,5,"Really enjoyed the session, very informative."
01/19/2024 17:00:00,Cultural Fest,MBA,1st Year,2,"Not much value, expected better content."
04/19/2024 09:00:00,Tech Talk,ECE,3rd Year,1,The event started late and ended abruptly.
03/17/2024 09:00:00,Workshop on AI,MBA,3rd Year,1,The event started late and ended abruptly.
05-10-2024 18:00,Cultural Fest,CSE,4th Year,5,"Really enjoyed the session, very informative."
02/19/2024 16:00:00,Tech Talk,ECE,4th Year,2,"Not much value, expected better content."
04/23/2024 18:00:00,Sports Meet,ME,1st Year,5,"Loved the energy, great speakers and topics."
02-11-2024 09:00,Hackathon,MBA,1st Year,4,The event was well organized and engaging!
02/22/2024 11:00:00,Hackathon,CSE,3rd Year,4,"Loved the energy, great speakers and topics."
06/18/2024 11:00:00,Workshop on AI,ECE,2nd Year,1,Venue was too crowded and uncomfortable.
06/13/2024 18:00:00,Sports Meet,CSE,4th Year,1,The event started late and ended abruptly.
07/17/2024 12:00:00,Workshop on AI,MBA,4th Year,2,Venue was too crowded and uncomfortable.
04-06-2024 10:00,Tech Talk,Civil,1st Year,2,"Not much value, expected better content."
05-04-2024 18:00,Tech Talk,MBA,2nd Year,4,"Everything went smoothly, kudos to the team."
01/14/2024 14:00:00,Tech Talk,ECE,4th Year,2,"Not much value, expected better content."
03/28/2024 18:00:00,Hackathon,Civil,2nd Year,4,The event was well organized and engaging!
02-04-2024 15:00,Workshop on AI,CSE,3rd Year,4,"Really enjoyed the session, very informative."
02-02-2024 16:00,Tech Talk,MBA,3rd Year,2,The event started late and ended abruptly.
05-10-2024 14:00,Tech Talk,CSE,4th Year,5,"Loved the energy, great speakers and topics."
05/29/2024 15:00:00,Tech Talk,MBA,4th Year,5,"Really enjoyed the session, very informative."
03/27/2024 14:00:00,Hackathon,ECE,4th Year,3,Decent experience overall.
01-07-2024 18:00,Workshop on AI,ME,4th Year,2,Sound system was not working properly.
04/20/2024 11:00:00,Tech Talk,CSE,1st Year,3,"Average event, can be improved."
03/15/2024 14:00:00,Tech Talk,CSE,3rd Year,2,"Not much value, expected better content."
02/17/2024 12:00:00,Workshop on AI,CSE,4th Year,2,Sound system was not working properly.
07-10-2024 13:00,Hackathon,ME,4th Year,2,The event started late and ended abruptly.
07-12-2024 15:00,Sports Meet,MBA,2nd Year,2,Venue was too crowded and uncomfortable.
01/17/2024 17:00:00,Workshop on AI,ME,4th Year,4,"Really enjoyed the session, very informative."
05/24/2024 18:00:00,Workshop on AI,ME,2nd Year,2,"The timing was poor, it clashed with classes."
06/14/2024 16:00:00,Sports Meet,CSE,2nd Year,2,"The timing was poor, it clashed with classes."
01/20/2024 16:00:00,Sports Meet,ME,3rd Year,2,The event started late and ended abruptly.
07/15/2024 12:00:00,Cultural Fest,Civil,4th Year,3,"Average event, can be improved."
02-04-2024 17:00,Workshop on AI,Civil,4th Year,5,"Fantastic, would definitely attend again."
05/19/2024 13:00:00,Hackathon,ECE,2nd Year,4,"Loved the energy, great speakers and topics."
01/31/2024 16:00:00,Workshop on AI,CSE,4th Year,5,"Everything went smoothly, kudos to the team."
02/17/2024 18:00:00,Workshop on AI,Civil,4th Year,4,"Really enjoyed the session, very informative."
05-05-2024 13:00,Tech Talk,ECE,1st Year,4,"Fantastic, would definitely attend again."
01/22/2024 12:00:00,Cultural Fest,ME,1st Year,3,"It was okay, nothing special."
04/22/2024 09:00:00,Cultural Fest,CSE,4th Year,5,The event was well organized and engaging!
03-02-2024 12:00,Sports Meet,MBA,4th Year,4,"Fantastic, would definitely attend again."
02-05-2024 10:00,Tech Talk,ME,4th Year,4,"Really enjoyed the session, very informative."
01/13/2024 11:00:00,Sports Meet,MBA,3rd Year,5,"Everything went smoothly, kudos to the team."
04/27/2024 10:00:00,Sports Meet,ME,3rd Year,4,"Really enjoyed the session, very informative."
01-10-2024 18:00,Hackathon,MBA,4th Year,5,"Loved the energy, great speakers and topics."
01/22/2024 09:00:00,Hackathon,Civil,2nd Year,1,"Not much value, expected better content."
07/16/2024 12:00:00,Workshop on AI,ME,3rd Year,3,"Average event, can be improved."
02/28/2024 09:00:00,Cultural Fest,Civil,3rd Year,3,Neither good nor bad.
06/16/2024 11:00:00,Sports Meet,MBA,3rd Year,4,"Loved the energy, great speakers and topics."
05/18/2024 10:00:00,Sports Meet,CSE,1st Year,2,"Not much value, expected better content."
02/22/2024 09:00:00,Hackathon,MBA,1st Year,4,"Really enjoyed the session, very informative."
06/14/2024 11:00:00,Sports Meet,MBA,4th Year,2,Sound system was not working properly.
07-08-2024 09:00,Sports Meet,Civil,1st Year,4,"Everything went smoothly, kudos to the team."
03-04-2024 17:00,Sports Meet,ECE,3rd Year,5,The event was well organized and engaging!
03/13/2024 10:00:00,Workshop on AI,CSE,4th Year,3,The event was fine but too long.
03-04-2024 13:00,Tech Talk,Civil,1st Year,1,The event started late and ended abruptly.
03-01-2024 13:00,Tech Talk,ME,1st Year,1,"Not much value, expected better content."
03/13/2024 12:00:00,Cultural Fest,ECE,3rd Year,2,"Not much value, expected better content."
04-01-2024 16:00,Sports Meet,CSE,1st Year,5,The event was well organized and engaging!
01/21/2024 12:00:00,Tech Talk,ECE,4th Year,1,Sound system was not working properly.
02/19/2024 16:00:00,Cultural Fest,MBA,4th Year,5,"Really enjoyed the session, very informative."
02-08-2024 12:00,Workshop on AI,ECE,3rd Year,2,The event started late and ended abruptly.
01/28/2024 09:00:00,Cultural Fest,ECE,3rd Year,1,Venue was too crowded and uncomfortable.
06/25/2024 13:00:00,Sports Meet,CSE,3rd Year,4,"Everything went smoothly, kudos to the team."
07-10-2024 12:00,Workshop on AI,ME,1st Year,1,Sound system was not working properly.
03-10-2024 18:00,Tech Talk,CSE,2nd Year,5,"Really enjoyed the session, very informative."
07-08-2024 12:00,Cultural Fest,CSE,3rd Year,2,"The timing was poor, it clashed with classes."
01/24/2024 11:00:00,Sports Meet,ECE,3rd Year,3,The event was fine but too long.
04/30/2024 10:00:00,Tech Talk,Civil,4th Year,3,Neither good nor bad.
03/19/2024 09:00:00,Tech Talk,ME,4th Year,4,"Fantastic, would definitely attend again."
05/17/2024 09:00:00,Hackathon,ECE,2nd Year,1,"Not much value, expected better content."
06/15/2024 09:00:00,Sports Meet,CSE,4th Year,2,Venue was too crowded and uncomfortable.
04-12-2024 09:00,Workshop on AI,ME,4th Year,2,Venue was too crowded and uncomfortable.
07/16/2024 14:00:00,Cultural Fest,ECE,3rd Year,2,The event started late and ended abruptly.
01/17/2024 14:00:00,Cultural Fest,Civil,1st Year,5,"Loved the energy, great speakers and topics."
07-06-2024 16:00,Cultural Fest,ECE,1st Year,2,"The timing was poor, it clashed with classes."
03/29/2024 10:00:00,Workshop on AI,CSE,1st Year,1,Sound system was not working properly.
05/18/2024 16:00:00,Tech Talk,ME,4th Year,1,Venue was too crowded and uncomfortable.
07/14/2024 17:00:00,Sports Meet,Civil,3rd Year,5,"Everything went smoothly, kudos to the team."
01/19/2024 17:00:00,Cultural Fest,ME,1st Year,5,"Fantastic, would definitely attend again."
05-07-2024 18:00,Hackathon,CSE,2nd Year,4,"Really enjoyed the session, very informative."
01/31/2024 14:00:00,Workshop on AI,MBA,2nd Year,4,"Everything went smoothly, kudos to the team."
05-12-2024 18:00,Cultural Fest,ME,4th Year,3,"It was okay, nothing special."
07-02-2024 12:00,Hackathon,MBA,2nd Year,4,"Really enjoyed the session, very informative."
02-11-2024 12:00,Workshop on AI,MBA,1st Year,4,"Loved the energy, great speakers and topics."
04/13/2024 09:00:00,Hackathon,MBA,3rd Year,4,"Really enjoyed the session, very informative."
02-04-2024 10:00,Cultural Fest,ME,4th Year,4,"Everything went smoothly, kudos to the team."
07-12-2024 11:00,Tech Talk,Civil,3rd Year,2,Sound system was not working properly.
02-12-2024 09:00,Tech Talk,ECE,1st Year,1,Venue was too crowded and uncomfortable.
06/23/2024 16:00:00,Workshop on AI,MBA,4th Year,3,"It was okay, nothing special."
02/15/2024 11:00:00,Sports Meet,CSE,4th Year,5,The event was well organized and engaging!
03/29/2024 10:00:00,Hackathon,MBA,2nd Year,1,"Not much value, expected better content."
03/25/2024 18:00:00,Workshop on AI,Civil,1st Year,3,"It was okay, nothing special."
05-04-2024 10:00,Sports Meet,MBA,2nd Year,5,"Everything went smoothly, kudos to the team."
06/29/2024 15:00:00,Workshop on AI,ECE,4th Year,2,Sound system was not working properly.
07-04-2024 11:00,Tech Talk,Civil,1st Year,2,Venue was too crowded and uncomfortable.
04-08-2024 18:00,Tech Talk,MBA,4th Year,2,Sound system was not working properly.
05-07-2024 13:00,Hackathon,MBA,1st Year,2,"The timing was poor, it clashed with classes."
04-05-2024 16:00,Hackathon,CSE,4th Year,5,"Really enjoyed the session, very informative."
02/24/2024 18:00:00,Hackathon,CSE,3rd Year,3,"It was okay, nothing special."
04-07-2024 15:00,Hackathon,ME,4th Year,2,Sound system was not working properly.
01/13/2024 16:00:00,Cultural Fest,MBA,2nd Year,2,The event started late and ended abruptly.
02/15/2024 13:00:00,Cultural Fest,ECE,4th Year,2,"Not much value, expected better content."
01-07-2024 16:00,Workshop on AI,ME,4th Year,2,"The timing was poor, it clashed with classes."
03-07-2024 11:00,Sports Meet,Civil,3rd Year,5,The event was well organized and engaging!
03-01-2024 14:00,Cultural Fest,ME,4th Year,4,"Everything went smoothly, kudos to the team."
06/14/2024 18:00:00,Sports Meet,ECE,3rd Year,3,"Average event, can be improved."
03-12-2024 12:00,Tech Talk,ME,3rd Year,2,The event started late and ended abruptly.
03-06-2024 12:00,Workshop on AI,ME,1st Year,1,Sound system was not working properly.
05/30/2024 14:00:00,Hackathon,Civil,1st Year,5,"Fantastic, would definitely attend again."
01/18/2024 12:00:00,Workshop on AI,CSE,1st Year,5,"Everything went smoothly, kudos to the team."
04-02-2024 13:00,Workshop on AI,MBA,2nd Year,5,The event was well organized and engaging!
04/28/2024 15:00:00,Sports Meet,CSE,1st Year,5,"Loved the energy, great speakers and topics."
05/18/2024 11:00:00,Workshop on AI,ECE,2nd Year,4,"Loved the energy, great speakers and topics."
05-07-2024 15:00,Hackathon,CSE,4th Year,2,The event started late and ended abruptly.
06-03-2024 10:00,Sports Meet,CSE,1st Year,5,"Fantastic, would definitely attend again."
06-10-2024 18:00,Hackathon,MBA,2nd Year,1,Sound system was not working properly.
05/21/2024 18:00:00,Workshop on AI,MBA,3rd Year,1,"The timing was poor, it clashed with classes."
05/26/2024 12:00:00,Workshop on AI,CSE,4th Year,3,"It was okay, nothing special."
02/20/2024 15:00:00,Hackathon,ECE,3rd Year,1,The event started late and ended abruptly.
04-08-2024 16:00,Tech Talk,Civil,2nd Year,2,"The timing was poor, it clashed with classes."
06-09-2024 15:00,Hackathon,ECE,2nd Year,1,"The timing was poor, it clashed with classes."
05-05-2024 17:00,Tech Talk,Civil,1st Year,5,The event was well organized and engaging!
05/23/2024 17:00:00,Workshop on AI,MBA,2nd Year,1,Venue was too crowded and uncomfortable.
01-03-2024 11:00,Tech Talk,CSE,4th Year,2,"The timing was poor, it clashed with classes."
03/25/2024 15:00:00,Tech Talk,MBA,1st Year,2,"The timing was poor, it clashed with classes."
06/24/2024 14:00:00,Cultural Fest,CSE,4th Year,1,"The timing was poor, it clashed with classes."
07-04-2024 16:00,Sports Meet,MBA,3rd Year,2,"Not much value, expected better content."
06/16/2024 14:00:00,Workshop on AI,ECE,1st Year,3,The event was fine but too long.
02-07-2024 18:00,Sports Meet,ME,1st Year,4,"Fantastic, would definitely attend again."
07-12-2024 16:00,Cultural Fest,ME,3rd Year,2,"The timing was poor, it clashed with classes."
07/16/2024 16:00:00,Workshop on AI,Civil,2nd Year,1,"Not much value, expected better content."
02-02-2024 10:00,Tech Talk,CSE,4th Year,5,"Fantastic, would definitely attend again."
01-05-2024 17:00,Cultural Fest,CSE,4th Year,4,"Really enjoyed the session, very informative."
02-11-2024 16:00,Tech Talk,Civil,2nd Year,1,"The timing was poor, it clashed with classes."
06/14/2024 14:00:00,Sports Meet,ECE,4th Year,4,"Fantastic, would definitely attend again."
02-05-2024 14:00,Workshop on AI,ECE,3rd Year,2,Sound system was not working properly.
03/21/2024 18:00:00,Sports Meet,CSE,3rd Year,5,"Everything went smoothly, kudos to the team."
05/16/2024 18:00:00,Sports Meet,ECE,3rd Year,1,"Not much value, expected better content."
02/23/2024 18:00:00,Workshop on AI,ECE,4th Year,3,"Average event, can be improved."
06/18/2024 16:00:00,Sports Meet,CSE,2nd Year,2,The event started late and ended abruptly.
02/17/2024 14:00:00,Tech Talk,ME,4th Year,4,"Really enjoyed the session, very informative."
02/13/2024 09:00:00,Tech Talk,ME,3rd Year,1,Sound system was not working properly.
06-01-2024 17:00,Workshop on AI,CSE,1st Year,2,"The timing was poor, it clashed with classes."
05/29/2024 10:00:00,Hackathon,ECE,4th Year,1,Venue was too crowded and uncomfortable.
05/29/2024 15:00:00,Tech Talk,ECE,3rd Year,5,The event was well organized and engaging!
03/25/2024 14:00:00,Cultural Fest,Civil,2nd Year,1,"Not much value, expected better content."
01/27/2024 13:00:00,Cultural Fest,ME,4th Year,1,Venue was too crowded and uncomfortable.
03-08-2024 15:00,Sports Meet,MBA,3rd Year,3,Neither good nor bad.
05/27/2024 09:00:00,Hackathon,MBA,4th Year,3,"It was okay, nothing special."
02-09-2024 18:00,Hackathon,Civil,1st Year,3,Neither good nor bad.
05-06-2024 18:00,Tech Talk,MBA,2nd Year,3,The event was fine but too long.
02/25/2024 17:00:00,Hackathon,Civil,4th Year,1,Sound system was not working properly.
02-07-2024 09:00,Sports Meet,CSE,2nd Year,2,"The timing was poor, it clashed with classes."
07-05-2024 11:00,Tech Talk,ME,1st Year,5,"Really enjoyed the session, very informative."
05/18/2024 09:00:00,Hackathon,ECE,1st Year,4,The event was well organized and engaging!
01/22/2024 18:00:00,Cultural Fest,Civil,3rd Year,4,"Fantastic, would definitely attend again."
03-04-2024 11:00,Hackathon,MBA,4th Year,1,The event started late and ended abruptly.
03/31/2024 18:00:00,Sports Meet,CSE,2nd Year,2,Sound system was not working properly.
07/19/2024 17:00:00,Tech Talk,ME,1st Year,3,Neither good nor bad.
01/19/2024 09:00:00,Hackathon,Civil,1st Year,3,Neither good nor bad.
02-01-2024 16:00,Cultural Fest,MBA,1st Year,3,"Average event, can be improved."
07-10-2024 17:00,Tech Talk,CSE,4th Year,5,"Loved the energy, great speakers and topics."
07-05-2024 15:00,Tech Talk,MBA,1st Year,3,The event was fine but too long.
05-02-2024 15:00,Hackathon,MBA,2nd Year,2,Sound system was not working properly.
02/20/2024 10:00:00,Workshop on AI,CSE,2nd Year,3,The event was fine but too long.
05/21/2024 11:00:00,Tech Talk,Civil,3rd Year,4,"Loved the energy, great speakers and topics."
02-06-2024 18:00,Hackathon,CSE,3rd Year,3,Decent experience overall.
01-05-2024 09:00,Workshop on AI,CSE,1st Year,1,"Not much value, expected better content."
07-01-2024 11:00,Cultural Fest,ECE,2nd Year,2,"Not much value, expected better content."
05/19/2024 10:00:00,Workshop on AI,MBA,3rd Year,2,The event started late and ended abruptly.
03/18/2024 10:00:00,Hackathon,ECE,2nd Year,1,"The timing was poor, it clashed with classes."
01/13/2024 17:00:00,Tech Talk,MBA,2nd Year,5,"Loved the energy, great speakers and topics."
05/23/2024 18:00:00,Cultural Fest,CSE,3rd Year,5,"Loved the energy, great speakers and topics."
05/28/2024 11:00:00,Sports Meet,ME,2nd Year,1,The event started late and ended abruptly.
02-05-2024 09:00,Hackathon,ECE,4th Year,4,"Really enjoyed the session, very informative."
01/28/2024 13:00:00,Cultural Fest,MBA,4th Year,1,Sound system was not working properly.
06/27/2024 14:00:00,Hackathon,CSE,2nd Year,3,The event was fine but too long.
07-11-2024 10:00,Hackathon,ECE,3rd Year,1,Venue was too crowded and uncomfortable.
01/19/2024 13:00:00,Hackathon,ECE,1st Year,2,Venue was too crowded and uncomfortable.
02/25/2024 12:00:00,Cultural Fest,MBA,3rd Year,5,"Loved the energy, great speakers and topics."
07-02-2024 10:00,Sports Meet,MBA,2nd Year,3,"It was okay, nothing special."
04/23/2024 15:00:00,Cultural Fest,MBA,3rd Year,4,"Really enjoyed the session, very informative."
02/22/2024 14:00:00,Workshop on AI,ECE,2nd Year,3,The event was fine but too long.
05/30/2024 12:00:00,Tech Talk,ECE,3rd Year,3,The event was fine but too long.
06-08-2024 12:00,Hackathon,MBA,1st Year,2,Sound system was not working properly.
05-06-2024 16:00,Sports Meet,Civil,2nd Year,5,"Really enjoyed the session, very informative."
05/26/2024 09:00:00,Sports Meet,ME,1st Year,1,"The timing was poor, it clashed with classes."
06/17/2024 15:00:00,Hackathon,ECE,3rd Year,2,"Not much value, expected better content."
06/20/2024 15:00:00,Sports Meet,MBA,4th Year,2,The event started late and ended abruptly.
04/30/2024 16:00:00,Tech Talk,Civil,4th Year,1,"The timing was poor, it clashed with classes."
01-11-2024 09:00,Cultural Fest,ME,3rd Year,4,"Really enjoyed the session, very informative."
03/18/2024 12:00:00,Tech Talk,ME,3rd Year,2,"Not much value, expected better content."
01-06-2024 14:00,Workshop on AI,MBA,2nd Year,1,The event started late and ended abruptly.
